ta;Ubike;Ibike;Ua;Ia1;Ia2;Ia3;Sa1;Sa2;Sa3;Din1;DMka;DZka;Ika;Din2;Temp1;Temp2;Bpos;DMhr;v;dzp;Temp3;Pbike;Pa1;Pa2;Pa3;s;FW;UF;Marke;ERR
25938;0,0;-0,02;42,02;-0,34;0,03;0,14;1000;0;0;0;6,47;24,6;1;32;254,0;254,0;0;0,24;4,8;21;90,5;-0,0;16,66;1,09;4,85;18,97;12,81;-0,0;0;0
25948;0,0;-0,02;42,02;-0,33;0,01;0,2;1000;0;0;0;6,4;23,5;2;32;254,0;254,0;0;0,24;4,7;22;90,5;-0,0;15,74;0,25;6,7;19,01;12,84;-0,0;0;0
25958;0,0;-0,02;42,0;-0,68;-0,01;0,05;1000;0;0;0;5,9;23,5;2;32;254,0;254,0;0;0,24;4,7;22;90,5;-0,0;14,51;0,38;1,62;19,01;12,86;-0,0;0;0
25968;0,0;-0,03;42,0;-0,41;0,0;0,1;1000;0;0;0;6,08;23,5;2;32;254,0;254,0;0;0,24;4,7;22;90,5;-0,0;14,97;0,04;3,23;19,01;12,87;-0,0;0;0
25978;0,0;-0,01;42,02;-0,48;0,04;0,01;1000;0;0;0;5,64;23,8;3;32;254,0;254,0;0;0,24;4,7;23;90,5;-0,0;14,06;1,3;0,23;19,05;12,88;-0,0;0;0
25988;0,0;-0,02;42,01;-0,66;0,0;0,1;1000;0;0;0;5,55;23,8;3;32;254,0;254,0;0;0,24;4,7;23;90,5;-0,0;13,83;0,04;3,47;19,05;12,9;-0,0;0;0
25998;0,0;-0,02;42,01;-0,43;0,01;0,08;1000;0;0;0;5,52;23,8;3;32;254,0;254,0;0;0,24;4,7;23;90,5;-0,0;13,76;0,25;2,77;19,05;12,91;-0,0;0;0
26008;0,0;-0,02;42,01;-0,31;0,06;0,21;1000;0;0;0;5,2;23,8;3;32;254,0;254,0;0;0,23;4,7;24;90,5;-0,0;12,97;1,93;7,16;19,09;12,92;-0,0;0;0
26018;0,0;-0,01;42,02;-0,54;0,01;0,14;1000;0;0;0;5,12;23,3;4;32;254,0;254,0;0;0,23;4,7;24;90,5;-0,0;12,49;0,25;4,62;19,09;12,92;-0,0;0;0
26028;0,0;-0,03;42,0;-0,58;-0,02;0,15;1000;0;0;0;5,01;23,3;4;32;254,0;254,0;0;0,23;4,7;24;90,5;-0,0;12,23;0,59;5,08;19,09;12,92;-0,0;0;0
26038;0,0;-0,03;42,01;-0,33;0,01;0,06;1000;0;0;0;4,94;23,3;4;32;254,0;254,0;0;0,23;4,7;25;90,5;-0,0;12,06;0,25;2,08;19,12;12,92;-0,0;0;0
26048;0,0;-0,0;42,02;-0,52;0,03;0,07;1000;0;0;0;4,61;23,4;5;32;254,0;254,0;0;0,23;4,7;25;90,5;-0,0;11,29;1,09;2,31;19,12;12,92;-0,0;0;0
26058;0,0;-0,01;42,02;-0,59;0,0;0,01;1000;0;0;0;4,66;23,4;5;32;254,0;254,0;0;0,23;4,7;25;90,5;-0,0;11,41;0,04;0,46;19,12;12,91;-0,0;0;0
26068;0,0;-0,02;42,02;-0,44;-0,0;0,13;1000;0;0;0;4,61;23,4;5;32;254,0;254,0;0;0,22;4,6;26;90,5;-0,0;11,3;0,17;4,39;19,16;12,9;-0,0;0;0
26078;0,0;-0,03;42,01;-0,41;0,03;0,11;1000;0;0;0;4,36;23,4;5;32;254,0;254,0;0;0,22;4,6;26;90,5;-0,0;10,67;1,09;3,7;19,16;12,88;-0,0;0;0
